created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-29T13:15:08Z,1597579915775574e3,1597579915775574016,Lasarus Puji Jokowi di Temu Akbar Pasukan Merah https://t.co/FRJ4JTHJYN,FALSE,71,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,in,FALSE,NA,NA,,Lasarus Puji Jokowi di Temu Akbar Pasukan Merah https://t.co/FRJ4JTHJYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T13:07:34Z,1597578014082338800,1597578014082338816,Ara Puji Kepercayaan Jokowi Pada Kemampuan Anak Muda https://t.co/6X7CMsio8P,FALSE,76,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,in,FALSE,NA,NA,,Ara Puji Kepercayaan Jokowi Pada Kemampuan Anak Muda https://t.co/6X7CMsio8P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T13:06:04Z,1597577637458649e3,1597577637458649089,"Masyarakat sangat puas dengan kinerja pemerintahan Jokowi😘🥰😍
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/UHS6smJPY9",FALSE,200,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,in,FALSE,NA,NA,,"Masyarakat sangat puas dengan kinerja pemerintahan Jokowi😘🥰😍
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri
#JokowiMajuBersamaIndonesia
#JokowiBapakInfrastruktur https://t.co/UHS6smJPY9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:57:25Z,159757545909658e4,1597575459096580098,"@mahasiswigenz Dia lantang benci pemerintah emang di bayar bohir utk itu( sebagai anjing piaraan biarbgonggong setiap saat) tujuan bohir yg sakit hati Krn di pemerintahan Jokowi bohir ga berkutik,sihingga pake para manusia bodoh seperti ini",FALSE,240,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597452357524107300,1597452357524107264,1357292820621521e3,1357292820621520899,mahasiswigenz,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@mahasiswigenz Dia lantang benci pemerintah emang di bayar bohir utk itu( sebagai anjing piaraan biarbgonggong setiap saat) tujuan bohir yg sakit hati Krn di pemerintahan Jokowi bohir ga berkutik,sihingga pake para manusia bodoh seperti ini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:50:30Z,1597573717936439300,1597573717936439297,"Pernyataan Panglima Jilah pimpin sumpah dayak dukung Pancasila, NKRI dan UUD 1945 serta mendukung pembangunan IKN juga mendukung pemerintahan Presiden Jokowi. https://t.co/djAkhtAIJL",FALSE,158,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,4,FALSE,FALSE,in,FALSE,NA,NA,,"Pernyataan Panglima Jilah pimpin sumpah dayak dukung Pancasila, NKRI dan UUD 1945 serta mendukung pembangunan IKN juga mendukung pemerintahan Presiden Jokowi. https://t.co/djAkhtAIJL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:34:02Z,1597569573473382400,1597569573473382401,"maksudnya apa siy, males baca berita org tu.
orang anti jokowi ? orang tu dah jadi nomer satu di pemerintahan, dah mo abis jabatannya.
Masalahnya apa yg bisa dilakukan orang anti-jokowi? apa perlu jegal biar gabisa capres?

cuma satu yg jelas, ENTE ITU PROVOKATOR PEMECAH BELAH. https://t.co/rtohyRTFxk",FALSE,278,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,0,FALSE,FALSE,in,FALSE,1597253980387971e3,1597253980387971073,,"maksudnya apa siy, males baca berita org tu.
orang anti jokowi ? orang tu dah jadi nomer satu di pemerintahan, dah mo abis jabatannya.
Masalahnya apa yg bisa dilakukan orang anti-jokowi? apa perlu jegal biar gabisa capres?

cuma satu yg jelas, ENTE ITU PROVOKATOR PEMECAH BELAH. https://t.co/rtohyRTFxk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:18:37Z,1597565692470968300,1597565692470968320,@AliRandy8 @jokowi Itu Gubernur sudah merespons masalah itu. Arahannya sudah jelas termasuk kepada kepolisian. Itu salah satu tugas gubernur bukan? Sebagai wakil pemerintahan di wilayah itu. Presiden itu mikirnya se Indonesia dengan masalah yang berbeda-beda.,FALSE,259,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597473083803467800,1597473083803467776,1309024562512908300,1309024562512908295,AliRandy8,,,,NA,FALSE,0,2,FALSE,FALSE,in,NA,NA,NA,,@AliRandy8 @jokowi Itu Gubernur sudah merespons masalah itu. Arahannya sudah jelas termasuk kepada kepolisian. Itu salah satu tugas gubernur bukan? Sebagai wakil pemerintahan di wilayah itu. Presiden itu mikirnya se Indonesia dengan masalah yang berbeda-beda.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:11:12Z,1597563826043785200,1597563826043785216,Jokowi Minta Restu ke Masyarakat Dayak Bangun IKN https://t.co/jLnRrNmzbG,FALSE,73,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,0,FALSE,FALSE,in,FALSE,NA,NA,,Jokowi Minta Restu ke Masyarakat Dayak Bangun IKN https://t.co/jLnRrNmzbG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:08:36Z,1597563171774304300,1597563171774304266,"Survei Charta Politika: Kepuasan Terhadap Pemerintahan Jokowi-Ma'ruf Capai 69,5 Persen https://t.co/JIdUWRCmvO",FALSE,110,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,in,FALSE,NA,NA,,"Survei Charta Politika: Kepuasan Terhadap Pemerintahan Jokowi-Ma'ruf Capai 69,5 Persen https://t.co/JIdUWRCmvO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T12:05:32Z,1597562400173346800,1597562400173346816,"@Dmz_73 @aan_muba @jokowi Demokrasi bukan dengan cara tiap demo tujuannya gulingin pemerintahan yg SAH...
Itu namanya mau MAKAR....
Demo yg jelas gk dilarang itu demokrasi.
Tapi tiap kali demo mau turunin Presiden itu termasuk ke arah MAKAR.... DRUN SANG...",FALSE,257,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1597557566846177300,1597557566846177281,1000872054,1000872054,Dmz_73,,,,NA,FALSE,0,0,FALSE,FALSE,in,NA,NA,NA,,"@Dmz_73 @aan_muba @jokowi Demokrasi bukan dengan cara tiap demo tujuannya gulingin pemerintahan yg SAH...
Itu namanya mau MAKAR....
Demo yg jelas gk dilarang itu demokrasi.
Tapi tiap kali demo mau turunin Presiden itu termasuk ke arah MAKAR.... DRUN SANG...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
